index,value
0,The North Atlantic Treaty Organization NATO French Organisation du traité de Atlantique nord OTAN also called the North Atlantic Alliance is an intergovernmental military alliance between member states European states the United States and Canada
1,Established in the aftermath of World War II on the insistence of the Truman administration in the
2,the organization implements the North Atlantic Treaty signed on April
3,NATO is system of collective security its independent member states agree to defend each other against attacks by third parties
4,It was established during the Cold War in response to the threat posed by the Soviet Union
5,The alliance remained in place after the dissolution of the Soviet Union and has been involved in military operations in the Balkans the Middle East South Asia and Africa
6,The NATO headquarters is located in Brussels Belgium while the headquarters of Allied Command Operations is near Mons Belgium
7,The organization motto is animus in consulendo liber Latin for mind unfettered in deliberation
8,Since its founding the admission of new member states has increased the alliance from the original countries to
9,The most recent member state to be added to NATO was North Macedonia on March
10,NATO currently recognizes Bosnia and Herzegovina Georgia and Ukraine as aspiring members
11,Enlargement has led to tensions with non-member Russia which has demanded that NATO provide legal guarantees that it would stop expanding east to countries such as Ukraine Georgia or Moldova
12,An additional countries participate in NATO Partnership for Peace programme with other countries involved in institutionalized dialogue programmes
13,The combined military spending of all NATO members in constituted over per cent of the global nominal total
14,Members agreed that their aim is to reach or maintain the target defence spending of at least per cent of their GDP by
15,On March the Treaty of Dunkirk was signed by France and the United Kingdom as Treaty of Alliance and Mutual Assistance in the event of possible attack by Germany or the Soviet Union in the aftermath of World War II
16,In this alliance was expanded to include the Benelux countries in the form of the Western Union also referred to as the Brussels Treaty Organization BTO established by the Treaty of Brussels
17,Talks for new military alliance which could also include North America largely on the insistence of the United States pursuant to the Truman Doctrine resulted in the signature of the North Atlantic Treaty on April by the member states of the Western Union plus the United States Canada Portugal Italy Norway Denmark and Iceland
18,Lester
19,Pearson was key author and drafter of the treaty
20,The North Atlantic Treaty was largely dormant until the Korean War initiated the establishment of NATO to implement it by means of an integrated military structure This included the formation of Supreme Headquarters Allied Powers Europe SHAPE in which adopted the Western Union military structures and plans including STANAGs and bipartite SOFAs
21,In the post of Secretary General of NATO was established as the organization chief civilian
22,That year also saw the first major NATO maritime exercises Exercise Mainbrace and the accession of Greece and Turkey to the organization
