index,value
0,acronym word formed initial component longer phrase
1,acronym usually formed initial letter word nato north atlantic treaty organization use syllable benelux short belgium netherlands luxembourg
2,mixture radar radio detection ranging
3,acronym pronounced word nasa unesco individual letter fbi tnt atm letter word jpeg pronounced jay-peg iupac
4,broader sense meaning includes term pronounced letters—is criticized term original meaning common use
5,dictionary style-guide editor universal agreement naming abbreviation matter dispute term acronym legitimately applied abbreviation pronounced word language authority agree correct use spacing casing punctuation
6,abbreviation formed string initial usually pronounced individual letter specifically called initialisms alphabetisms example fbi federal bureau investigation
7,latin exempli gratia
8,word acronym formed greek root acr- meaning height summit meaning
9,neoclassical compound appears originated german attestation german form akronym appearing early
10,citation english date translation novel german writer lion feuchtwanger
11,abbreviation type shortened form word middle omitted example rd road dr doctor end truncated prof
12,professor acronym is—in broad sense—formed letter letter important word phrase aid acquired immuno-deficiency syndrome scuba self-contained underwater breathing apparatus
13,loose rule thumb acronym built letter morpheme word component immuno-deficiency letter middle end word key word long phrase
14,le significant word usually dropped nyt new york time dmv department motor vehicle tica international cat association doj department justice
15,abbreviation formed string initial usually pronounced individual letter fbi federal bureau investigation
16,latin exempli gratia specifically called initialisms alphabetisms
17,occasionally letter chosen pronunciation letter coincides pronunciation beginning word example base exchange
18,acronym usually pronounced word aid scuba called word acronym disambiguate clearly initialisms especially user term initialism use acronym narrow sense meaning type sounded letter
19,sub-type acronym related form depending definition syllabic abbreviation composed specifically multi-letter syllabic multi-syllabic fragment abbreviated word example forex foreign exchange interpol international police english international criminal police organization
20,usually syllable major component word exception navy term desron desron destroyer squadron
21,special term abbreviation pronunciation involves combination letter name word word-like pronunciation string letter jpeg ms-dos
22,similarly unique mixture syllabic abbreviation initialisms usually pronounced word
23,radar radio detection ranging consisting syllabic abbreviation single letter sonar sound navigation ranging consisting syllabic abbreviation followed single acronymic letter ranging generally qualify word acronym use term
24,disagreement abbreviation speaker pronounce letter pronounce word
25,example term url ira individual retirement account pronounced individual letter respectively single word respectively
26,character string pronounced differently meaning different ira sounded i-r-a standing irish republican army
27,spelled-out form acronym initialism syllabic abbreviation abbreviation stand called expansion
28,unsettled question english lexicography style guide legitimate use word acronym describe form use initial pronounced word
29,plenty evidence acronym widely way source acknowledge usage reserving term acronym form pronounced word initialism abbreviation
30,source acknowledge usage vary criticize forbid allow comment explicitly advocate
31,mainstream english dictionary english-speaking world affirm sense acronym require pronounced word
32,american english dictionary merriam-webster dictionary
33,com random house webster unabridged dictionary american heritage dictionary british oxford english dictionary australian macquarie dictionary include sense entry acronym equating initialism american heritage dictionary criticizes label usage problem
34,english language dictionary collins cobuild advanced dictionary cambridge advanced learner dictionary macmillan dictionary longman dictionary contemporary english new oxford american dictionary webster new world dictionary lexico oxford university press acknowledge sense
35,dictionary entry style guide recommendation term acronym twentieth century explicitly acknowledge support expansive sense
36,merriam–webster dictionary english usage earliest publication advocate expansive sense major dictionary edition include sense acronym equating initialism published twenty-first century
37,trend dictionary editor appears including sense defining acronym initialism merriam-webster collegiate dictionary added sense eleventh edition english dictionary american heritage dictionary added sens edition
38,edition oxford english dictionary included exclusive sense acronym earliest citation
39,early december duke university researcher stephen goranson published citation acronym american dialect society e-mail discussion list refers pgn pronounced pee-gee-enn antedating english language usage word
40,linguist ben zimmer mentioned citation december language column acronym new york time magazine
41,publication third edition english dictionary added expansive sense entry acronym included citation
42,oxford english dictionary structure sens order chronological development give initialism sense
43,english language usage style guide entry acronym generally criticize usage refers form pronounceable word
44,fowler dictionary modern english usage say acronym denotes abbreviation formed initial letter word pronounced single word nato distinct b-b-c add later everyday use acronym applied abbreviation technically initialisms pronounced separate letter
45,chicago manual style acknowledges complexity furthermore acronym initialism occasionally combined jpeg line initialism clear defines term mutually exclusive
46,guide deny legitimacy usage bryson dictionary troublesome word say abbreviation pronounced word ibm abc nfl acronym abbreviation
47,garner modern american usage say letter part compound term
48,read spoken single word letter letter
49,new york time manual style usage say pronounced word abbreviation acronym
50,contrast style guide support explicitly implicitly
51,edition merriam-webster dictionary english usage defends usage basis claim dictionary distinction
52,buzzfeed style guide describes cbs pb acronym ending
53,acronymy retronymy linguistic process existed history little naming conscious attention systematic analysis relatively recent time
54,retronymy common century
55,ancient example acronymy regardless metalanguage time describe include following
56,mid- late century acronym-disseminating trend spread american european business community abbreviating corporation name side railroad car
57,richmond fredericksburg potomac railroad rf p side barrel crate ticker tape small-print newspaper stock listing got data
58,american telephone telegraph company t
59,well-known commercial example dating include nabisco national biscuit company esso
60,standard oil sunoco sun oil company
61,driver adoption modern warfare highly technical term
62,recorded use military acronym document dating american civil war acronym anv army northern virginia postdate war somewhat common world war vernacular language soldier world war ii referred
